ChannelName,Video Title,Video ID,Published At,Collaborating Channels
1_4_BlackGarrett_videos,Lightsabers Don't Work Anymore,vJ3zQAN0SbY,2023-08-28T05:00:24Z,"@QTRBlackGarrett, @QTRBlackGarrett:9"
ActualJusticeWarrior_videos,"Corrupt ""Super Mayor"" Steals Tax Dollars For Her Campaign",SpwhFbmoA7A,2023-12-31T16:00:17Z,@actualjusticewarrior:2
ActualJusticeWarrior_videos,Eric Adams CLOSES NYC Border,WjR2WrM5oSc,2023-12-30T16:00:16Z,@actualjusticewarrior:2
ActualJusticeWarrior_videos,Media Covers Up Anti-White Hate Crime,9J9LUFLjxZ0,2023-12-29T15:00:14Z,@actualjusticewarrior:2
ActualJusticeWarrior_videos,David Pakman LIES About Crime,#NAME?,2023-12-28T20:00:00Z,@actualjusticewarrior:2
ActualJusticeWarrior_videos,Baltimore Judge Declares Adult Mass Shooter A Juvenile,i60uUpVPYZc,2023-12-27T15:00:34Z,@actualjusticewarrior:2
ActualJusticeWarrior_videos,Illegal Migrants Moved Through Airports,GTsbvRLsS8o,2023-12-26T19:00:06Z,@actualjusticewarrior:2
ActualJusticeWarrior_videos,Texas Woman Evicted For Defending Home,jwi3hww2ksc,2023-12-25T17:00:28Z,@actualjusticewarrior:2
ActualJusticeWarrior_videos,Greg Abbott DESTROYS Chicago Mayor,wpbdfdsUxxU,2023-12-24T15:00:50Z,@actualjusticewarrior:2
ActualJusticeWarrior_videos,New York Bill Will BAN Chick-fil-A,F-nBEYJEUUU,2023-12-23T16:00:53Z,@actualjusticewarrior:2
