INFLUENCER NAME,CHANNEL NAME(S),SHOW/SERIES NAME
Andrew Klavan,The Daily Wire,The Andrew Klavan Show
Andy Warski,Andywarski,Warski Live
Annand Virk (Bunty King),Bunty King,
Antonia Okafur,,
Ayla Stewart (Wife with a Purpose),Ayla Stewart Wife with a Purpose,
Ben Shapiro,The Daily Wire,The Ben Shapiro Show
Black Pigeon Speaks,Black Pigeon Speaks; Navy Hato,
Blaire White,Blaire White,
Blonde in the Belly of the Beast,Blonde in the Belly of the Beast,
Braving Ruin,(No longer active) Braving Ruin; ,
,Braving Ruin Archives; Braving Ruin Live ,
Bre Faucheux,Bre Faucheux,This Week on the Alt-Right (formerly)
Brittany Pettibone,Brittany Pettibone,
Brooks Heatherly (No Bullshit),No Bullshit; No Bullshit 2,
Candace Owens (Red ,Candace Owens,The Declaration (formerly Myth of the Coon)
Pill Black),,
Caolan Robertson ,Caolan Robertson,The Culture Report
Carl Benjamin (Sargon of Akkad) ,Sargon of Akkad Live; The Thinkery,This Week in Stupid
Chris Maldonado (Chris Ray Gun),Chris Ray Gun,
Coach Red Pill,Coach Red Pill; CRP Streams/Backup; Coach and Benway Podcast,
Dave Cullen ,Computing Forever; The Dave Cullen Show; Computing Forever Archive,The Dave Cullen Show
(Computing Forever),,
Dave Rubin,The Rubin Report,The Rubin Report
Dennis Prager,PragerU,
Derrick Blackman (Some Black Guy),Some Black Guy; Derrick Blackman,
Faith J Goldy,Faith J Goldy (formerly The Rebel Media),
Gavin McInnes,Gavin MicInnes (formerly The Rebel Media),
Henrik Palmgren,Red Ice TV,
James Allsup,James Allsup,
James Damore,,
James O’Keefe,Project Veritas; Project Veritas Action,
Jared Taylor,American Renaissance,
Jean-François Gariépy,Jean-François Gariépy,
Jeff Holiday,Jeff Holiday; YouTube Saints; Jeff Holiday 2 Electric Boogaloo,
Joe Rogan,PowerfulJRE,The Joe Rogan Experience
Jordan Peterson,Jordan Peterson,
Kraut and Tea,Kraut (no longer active),
Lana Lokteff,Red Ice TV,
Larry Elder,,
Lauren Southern,Lauren Southern (previously The Rebel Media),
Marcus Follin (The Golden One),The Golden One,
Mark Collett,Mark Collett,This Week on the Alt-Right
Martin Sellner,Martin Sellner; Martin Sellner GI,
Matt Jarbo (Mundane Matt),MundaneMatt; Mundane Chats; Forbidden Knowledge,
Michael Knowles,The Daily Wire,The Michael Knowles Show
Mike Cernovich,Mike Cernovich,
Mike Enoch,,
Millennial Woes,Millennial Woes; MW Live; MW OffDuty,Millenniyule (seasonal)
Milo Yiannopolous,MILO,The Milo Show
Mister Metokur,Mister Metokur (formerly Internet Aristocrat),
Mouthy Buddha,Mouthy Buddha,
Nicholas J Fuentes,Nicholas J Fuentes,America First
Owen Benjamin,Owen Benjamin,
Paul Joseph Watson,Paul Joseph Watson,
Richard Spencer,Altright.com,Alt-Right Politics
Roaming Millennial,Roaming Millennial,
Sam Harris,Sam Harris,Waking Up with Sam Harris
Stefan Molyneux,Stefan Molyneux,Freedomain Radio
Stephen Christopher ,(formerly The Rebel Media),
Yaxley-Lennon ,,
(Tommy Robinson),,
Steven Bonnell II (Destiny),Destiny,
Steven Crowder ,StevenCrowder,Louder with Crowder
Styxhexenhammer666,Styxhexenhammer666,
Taleed Brown (That Guy T),That Guy T,
Tara McCarthy,The Reality Calls Show,The Reality Call Show (no longer active)
Tim Pool,Tim Pool; Timcast; Subverse,
Timothy Gionet (Baked Alaska),Baked Alaska; Baked Alaska ,The BA Experience
,Livestreams; (formerly) The BA Experience,
Tree of Logic,Tree of Logic; Tree of Logic – Livestreams,
Vee,Vee; Vee Live Stream,
